global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
82,0,,,0.0,0.0,0.83115,,,,,,82,163.51775346240402,163.51775346240402,13,False,1,0,0.0,0.0,random
83,0,,,0.0,0.0,0.8303,,,,,,83,165.03362910059175,165.03362910059175,13,False,1,0,0.0,0.0,random
84,0,,,0.0,0.0,0.82945,4.950055881636217e-05,0.03251048922538757,0.03830227255821228,0.028681296855211258,0.008520142175257206,84,161.64863129869198,161.64863129869198,14,True,1,0,0.0,0.0,random
85,0,,,0.0,0.0,0.8286,,,,,,85,162.9834328323498,162.9834328323498,14,False,1,0,0.0,0.0,random
86,0,,,0.0,0.0,0.82775,,,,,,86,164.2254678099187,164.2254678099187,14,False,1,0,0.0,0.0,random
87,0,,,1.0,1.0,0.8269,,,,,,87,165.23152642033787,165.23152642033787,14,False,1,0,1.0,1.0,random
88,0,,,1.0,1.0,0.8260500000000001,3.893601751769893e-05,0.026118909940123558,0.0345083549618721,0.028754865750670433,0.0066445148549973965,88,160.6015843466935,160.6015843466935,15,True,1,0,0.0,0.0,random
89,0,,,1.0,1.0,0.8252,,,,,,89,161.6665386000479,161.6665386000479,15,False,1,0,0.0,0.0,greedy
90,0,,,1.0,1.0,0.82435,,,,,,90,162.7455242159697,162.7455242159697,15,False,1,0,0.0,0.0,random
91,0,,,1.0,1.0,0.8235,,,,,,91,163.9157048133285,163.9157048133285,15,False,1,0,0.0,0.0,random
92,0,,,1.0,1.0,0.82265,5.4239229939412326e-05,0.02476613223552704,0.03687397018074989,0.028759131208062172,0.008705035783350468,92,160.95785319312904,160.95785319312904,16,True,1,0,0.0,0.0,random
93,0,,,1.0,1.0,0.8218000000000001,,,,,,93,162.14183434787833,162.14183434787833,16,False,1,0,0.0,0.0,random
94,0,,,1.0,1.0,0.8209500000000001,,,,,,94,163.32675047134208,163.32675047134208,16,False,1,0,0.0,0.0,random
95,0,,,1.0,1.0,0.8201,,,,,,95,164.66260717406078,164.66260717406078,16,False,1,0,0.0,0.0,random
96,0,,,1.0,1.0,0.81925,2.7086045520263724e-05,0.024630272760987282,0.031418588012456894,0.02874554693698883,0.005693722981959581,96,162.2237907666121,162.2237907666121,17,True,1,0,0.0,0.0,random
97,0,,,1.0,1.0,0.8184,,,,,,97,163.30557419339553,163.30557419339553,17,False,1,0,0.0,0.0,random
98,0,,,1.0,1.0,0.81755,,,,,,98,164.51681245963792,164.51681245963792,17,False,1,0,0.0,0.0,random
99,0,,,1.0,1.0,0.8167,,,,,,99,165.7871296774972,165.7871296774972,17,False,1,0,0.0,0.0,random
100,0,,,1.0,1.0,0.81585,1.943983261298854e-05,0.024884941056370735,0.031289130449295044,0.028702326118946075,0.004894688725471497,100,162.93876354882602,162.93876354882602,18,True,2,100,0.0,0.0,random
101,0,,,1.0,1.0,0.8150000000000001,,,,,,101,164.05635677215218,164.05635677215218,18,False,2,100,0.0,0.0,random
102,0,,,1.0,1.0,0.81415,,,,,,102,165.2750078986627,165.2750078986627,18,False,2,100,0.0,0.0,random
103,0,,,1.0,1.0,0.8133,,,,,,103,166.5117676208704,166.5117676208704,18,False,2,100,0.0,0.0,random
104,0,,,1.0,1.0,0.81245,4.0691487811272964e-05,0.03080611303448677,0.03778795525431633,0.03745909780263901,0.005143770016729832,104,162.87055596692167,162.87055596692167,19,True,2,100,0.0,0.0,random
105,0,,,1.0,1.0,0.8116,,,,,,105,163.83489748034287,163.83489748034287,19,False,2,100,0.0,0.0,random
106,0,,,1.0,1.0,0.8107500000000001,,,,,,106,164.80693955653024,164.80693955653024,19,False,2,100,0.0,0.0,greedy
107,0,,,1.0,1.0,0.8099000000000001,,,,,,107,165.90991589333558,165.90991589333558,19,False,2,100,0.0,0.0,greedy
108,0,,,1.0,1.0,0.80905,4.5608929212903604e-05,0.03050440363585949,0.03881092742085457,0.03741787374019623,0.006786980666220188,108,162.9645300084593,162.9645300084593,20,True,2,100,0.0,0.0,random
109,0,,,1.0,1.0,0.8082,,,,,,109,163.8324406010921,163.8324406010921,20,False,2,100,0.0,0.0,random
110,0,,,1.0,1.0,0.80735,,,,,,110,164.80099455933777,164.80099455933777,20,False,2,100,0.0,0.0,random
111,0,,,1.0,1.0,0.8065,,,,,,111,165.75867745669504,165.75867745669504,20,False,2,100,0.0,0.0,random
